SampleID	Group	Date	Site	Day	Day2	Sex	Stage	Individual	CRA	CRR	BarcodeSequence	LinkerPrimerSequence	ReversePrimer	Batch	Species	Sequencing	Platform	Description	Sa	weight	food
C8D30	C	2019/3/2	Emei	30	d30	F	two	C8	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.8D30	C8	720	224
C8D37	C	2019/3/2	Emei	37	d37	F	two	C8	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.8D37	C8	1067	240
C8D44	C	2019/3/2	Emei	44	d44	F	two	C8	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.8D44	C8		
C9D3	C	2019/3/2	Emei	3	d3	F	one	C9	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.9D3	C9	57	10.5
C9D6	C	2019/3/2	Emei	6	d6	F	one	C9	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.9D6	C9	71	24
C9D9	C	2019/3/2	Emei	9	d9	F	one	C9	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.9D9	C9	97	36
C9D12	C	2019/3/2	Emei	12	d12	F	one	C9	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.9D12	C9	135	48
C9D15	C	2019/3/2	Emei	15	d15	F	one	C9	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.9D15	C9	185	60
C9D24	C	2019/3/2	Emei	24	d24	F	one	C9	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.9D24	C9	465	156
C9D27	C	2019/3/2	Emei	27	d27	F	two	C9	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.9D27	C9	618	196
C9D37	C	2019/3/2	Emei	37	d37	F	two	C9	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.9D37	C9		
C9D44	C	2019/3/2	Emei	44	d44	F	two	C9	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f3.9D44	C9		
